Choke_Size (mm),Casing_pressure (kpag),Flowing _Temperature (Celcius),Gas_Rate
14.84,16476,37,160.7364
14.84,16418,37,160.5483
14.84,16450,37,162.6075
14.84,16401,37,161.0235
14.84,16395,37,161.4195
14.84,16407,37,160.8552
14.84,16425,37,162.2313
14.84,16488,37,162.6867
14.84,16483,37,163.053
14.84,16497,38,167.5872
14.84,16518,38,168.1119
14.84,16571,39,170.3295
14.84,16524,39,173.1015
14.84,16504,39,172.8936
14.84,16539,39,173.2995
14.84,16502,39,172.6164
14.84,16528,39,172.3293
14.84,16565,39,174.3291
14.84,16520,39,172.2996
14.84,16576,39,174.6459
14.84,16588,39,178.5564
14.84,16704,40,178.1109
14.84,16699,40,179.5464
14.84,16486,39,177.1209
14.84,16439,39,177.0021
14.84,16660,39,178.59599999999998
14.84,16383,39,180.1404
14.84,16351,39,180.3285
14.84,16336,39,180.7443
14.84,16311,39,180.9225
15.63,16238,40,187.8228
15.63,16715,39,194.4162
15.63,16765,39,192.0105
15.63,16438,39,192.15900000000002
15.63,16261,39,191.7729
15.63,17060,39,196.4655
15.63,16680,39,192.5748
15.63,16724,39,193.2084
15.63,16748,39,196.4556
15.63,16811,39,196.713
15.63,16714,39,196.4952
15.63,16688,39,196.8219
16.43,16588,39,204.3063
16.43,16612,41,231.8184
16.43,16597,41,229.8384
16.43,16671,41,229.38299999999998
16.43,16613,41,230.175
16.43,16606,43,229.3335
16.43,16683,43,229.9275
16.43,16605,43,230.076
16.43,16630,43,229.4028
16.43,16619,43,229.5018
16.43,16682,43,230.6106
16.43,16624,43,229.4523
16.43,16607,43,230.1057
16.43,16554,43,229.6404
16.43,16577,43,229.7988
16.43,16609,43,229.8582
16.43,16592,43,229.7097
16.43,16605,43,229.7196
16.43,16530,43,230.0265
16.43,16545,43,229.2345
16.43,16515,43,229.977
16.43,16538,43,228.8286
16.43,16505,43,229.185
16.43,16512,43,227.9475
16.43,16526,43,228.8979
16.43,16542,43,230.175
16.43,16529,43,227.9376
16.43,16508,42,229.8582
16.43,16497,42,231.4026
16.43,16504,42,230.1453
16.43,16484,42,228.195
16.43,16481,42,227.3832
16.43,16478,42,230.7987
16.43,16488,42,229.6899
16.43,16506,42,230.2344
16.43,16422,41,234.4815
16.43,16434,41,232.1352
16.43,16413,41,236.2536
16.43,16421,41,234.1746
16.43,16426,41,235.2042
16.43,16415,41,240.7977
16.43,16429,41,241.1541
17.22,16255,41,269.8641
17.22,16247,40,279.5265
17.22,16259,40,277.4574
15.63,16478,39,219.1563
15.63,16432,39,224.4924
17.22,16275,39,277.596
17.22,16211,39,278.0712
17.22,16191,39,279.6255
17.22,16207,39,278.4969
17.22,16268,39,277.9128
17.22,16299,40,278.8929
17.22,16303,40,278.1108
17.22,16339,40,277.9128
17.22,16211,41,281.9718
17.22,16254,41,279.0018
17.22,16206,41,279.3483
17.22,16239,41,278.3484
17.22,16221,41,280.5264
17.22,16177,41,284.5062
17.22,16142,42,280.764
17.22,16009,42,281.5461
17.22,15991,42,284.0805
17.22,15946,42,281.4669
17.22,16016,42,281.1402
16.43,16021,42,253.3311
16.43,16044,42,251.4204
16.43,16009,42,251.1234
16.43,16019,42,250.47
16.43,16007,42,252.6183
16.43,16019,42,248.1831
16.43,16049,42,249.0147
16.43,16034,42,248.6682
16.43,16029,42,248.3316
16.43,16034,41,247.2525
16.43,16031,41,247.995
16.43,16049,41,250.5888
16.43,16037,41,249.7176
17.22,15869,41,281.5857
17.22,15825,41,280.4274
17.22,15816,41,281.8134
17.22,15811,41,281.1402
17.22,15803,41,282.0312
17.22,15809,41,283.2687
17.22,15796,41,283.7835
17.22,15793,41,282.2292
18.01,15745,40,278.7048
18.01,15733,40,279.2394
18.01,15709,40,278.6949
18.01,15696,40,276.3783
18.01,15697,39,277.7247
18.01,15691,39,280.3878
18.01,15686,39,281.3283
18.01,15679,39,278.5266
18.01,15670,37,279.7245
18.01,15611,37,279.1998
18.01,15677,37,286.4664
18.01,15618,37,285.9318
18.01,15681,37,284.1894
18.01,15660,37,284.427
18.01,15643,37,284.5359
18.01,15594,37,284.1003
18.81,15321,37,332.5608
18.81,15310,38,330.0957
18.81,15313,38,331.3728
18.81,15302,38,330.7095
18.81,15352,38,325.4823
18.81,15337,38,325.2348
18.81,15378,38,325.9278
18.81,15320,38,325.0566
18.81,15361,38,325.3338
18.81,15314,38,325.7595
18.81,15376,38,326.5713
18.81,15307,38,325.809
18.81,15325,38,329.6403
18.81,15288,38,328.2147
18.81,15365,38,325.6803
18.81,15321,38,326.205
18.81,15376,38,324.3042
18.81,15365,38,322.4826
18.81,15137,37,325.0368
18.81,15121,37,324.6903
18.81,15128,38,323.2548
18.81,15137,38,324.522
18.81,15119,39,324.027
18.81,15111,39,323.3934
17.22,15367,39,262.9737
17.22,15409,39,270.9135
17.22,15413,39,274.5468
17.22,15419,39,272.8737
17.22,15410,39,271.8243
17.22,15408,39,271.4679
17.22,15401,39,270.3096
17.22,15398,39,269.7453
17.22,15391,39,271.062
17.22,15406,39,272.25
17.22,15407,39,273.1707
17.22,15414,39,274.1904
17.22,15420,39,273.0123
17.22,15411,39,272.5569
17.22,15405,39,271.1412
17.22,15412,39,272.6559
17.22,15402,37,273.4776
17.22,15398,37,274.5666
17.22,15405,37,275.3586
17.22,15482,37,274.7349
17.22,15418,37,274.527
17.22,15404,37,275.2992
17.22,15476,37,275.9625
17.22,15416,37,276.1011
17.22,15462,37,275.1012
17.22,15409,37,274.9725
17.22,15397,37,274.5666
17.22,15405,37,275.5962
17.22,15365,37,277.002
17.22,15402,37,278.1108
17.22,15371,37,278.2989
17.22,15308,37,278.7147
17.22,15324,37,278.9325
17.22,15356,37,278.8038
17.22,15328,37,280.4472
17.22,15305,37,279.9621
17.22,15337,37,278.7444
17.22,15315,37,279.0018
17.22,15306,37,278.8533
17.22,15334,37,278.3088
17.22,15349,38,278.8929
17.22,15357,38,275.8536
17.22,15365,38,276.9129
17.22,15374,38,278.0118
17.22,15336,37,277.3386
17.22,15321,37,278.6157
17.22,15324,37,278.2494
17.22,15330,37,277.2099
17.22,15327,37,277.497
17.22,15309,37,275.8932
17.22,15303,37,276.8634
17.22,15332,37,276.7149
17.22,15310,38,276.6456
17.22,15322,38,277.6653
20.39,18215,17,234.0261
20.39,17981,17,238.3326
21.19,18107,17,244.1241
21.19,18113,17,243.0351
21.19,18105,17,244.5498
21.19,18075,17,246.0447
21.19,18058,17,246.0942
21.19,18033,17,247.5396
21.19,18014,18,245.7477
21.19,18005,18,248.1633
21.19,17983,20,247.3911
21.19,17978,20,245.1141
21.19,17975,20,243.8172
21.19,17971,20,246.41099999999997
23.01,17915,20,250.9551
23.01,17889,20,255.717
24.36,17877,20,259.0632
24.36,17866,20,263.637
24.36,17854,20,263.3895
24.36,17837,20,263.6964
24.36,17828,20,264.4587
24.36,17816,20,262.8054
24.36,17796,20,265.1715
24.36,17779,20,263.934
24.36,17763,20,262.2114
24.36,17748,20,261.3303
24.36,17783,20,260.37
24.46,17768,20,259.3206
24.46,17732,20,259.8156
24.36,17707,20,259.9245
