GAS_RATE_MEASURED,GAS_RATE_PREDICTED
104.0886,105.98836456549229
278.8929,270.53404874178415
63.2214,62.14740972524439
24.8787,22.185618542215963
234.0261,240.02733919016663
247.5396,244.1630925733392
278.8533,278.6286674985512
105.8607,104.55083535967934
229.38299999999998,229.4926057158126
11.8305,12.62117202189441
173.1015,170.39408761652484
255.717,253.07800768764383
110.0088,108.3417788216904
230.1057,230.01928201032743
230.1453,229.59838348628676
105.23700000000001,106.65777945069976
230.6106,230.1890378439686
275.1012,274.844098296065
284.0805,279.8963550649278
271.062,272.3211859898609
278.6949,278.8996294559453
278.1108,270.28043224794715
246.41099999999997,246.84984483438492
68.1318,68.82467144847146
161.1819,160.99081144095845
11.7216,8.575771072558922
236.2536,238.59218066737827
12.0582,12.38906878873351
161.0235,162.7460242323992
262.8054,262.3751387044932
275.8536,278.1842747316556
142.0749,174.26307892838383
37.8477,36.520912532468486
104.2173,105.98836456549229
159.6375,159.701575598378
117.1566,118.68335485971969
325.9278,323.371011145835
13.1373,13.787805041919142
84.0411,84.00659785770817
117.8397,116.13324648343611
105.0192,105.08100891049766
41.5404,40.438647054705
271.4679,272.40017486117256
323.3934,312.9335419038737
92.9016,78.70008792740582
155.7567,173.22750354354056
278.2494,278.7943661838487
111.8106,112.45690692237945
196.4952,194.740518327384
252.6183,252.90614490925324
277.9128,268.8476448683844
232.1352,241.67099483794397
105.0291,104.97146420831062
110.484,111.23730184527626
111.5334,110.94397477488435
159.0732,160.4429635455001
162.1917,160.69813017238818
281.9718,280.75848188002556
279.5265,275.25159009686877
246.0447,244.1630925733392
160.5483,162.20226430783228
179.5464,174.7866557083782
94.545,92.8281060057162
106.0686,105.68818711719395
180.3285,179.3841305573492
116.3052,114.66841708230166
271.8243,272.8167798484428
262.2114,262.3751387044932
162.0333,160.68469297923843
275.5962,275.0474857152079
263.934,262.3751387044932
264.4587,262.63948417257
111.9987,112.34392131642193
108.405,107.59806470358416
281.1402,277.77939739812166
110.4642,103.3222801643536
274.9725,275.2053102087383
13.0086,10.915619241237323
259.3206,259.74664046298756
332.5608,321.98525703049404
13.1472,13.787805041919142
269.8641,277.15445369299175
278.7444,277.55655499629756
63.6471,58.74989681526094
163.548,161.8035925995332
110.5137,110.06428802939817
278.4969,277.551732044358
261.3303,262.1729522002182
330.7095,326.93496733508744
273.0123,273.0576351677461
19.6911,19.891280266505873
177.1209,173.1516858392382
324.027,312.9335419038737
278.2989,276.30643775589596
37.719,40.0468430116818
162.6075,162.1037349496738
