iter	RMSE
143	6.644374373
144	6.623709578
145	6.594606674
146	6.563637371
147	6.536229582
148	6.513551397
149	6.475509222
150	6.465770264
151	6.458373197
152	6.420021154
153	6.382474277
154	6.344614897
155	6.326631026
156	6.307376861
157	6.283329157
158	6.26535688
159	6.254832873
160	6.246635248
161	6.219759805
162	6.200575527
163	6.193347418
164	6.176323754
165	6.173483323
166	6.148811612
167	6.126435015
168	6.11704306
169	6.103692203
170	6.096187362
171	6.092366712
172	6.086946733
173	6.076137019
174	6.060454637
175	6.050893867
176	6.037394616
177	6.021163647
178	6.008423278
179	6.005217128
180	6.000776277
181	5.995712547
182	5.990599047
183	5.967331418
184	5.95671841
185	5.944947549
186	5.936435863
187	5.916477798
188	5.906562033
189	5.902687015
190	5.894340378
191	5.889057688
192	5.863722836
193	5.859746503
194	5.846815831
195	5.843325878
196	5.835095764
197	5.832483285
198	5.820906596
199	5.817634059
200	5.814114056
201	5.811713157
202	5.807036117
203	5.800022722
204	5.79660466
205	5.794411563
206	5.791180571
207	5.780603308
208	5.742274615
209	5.739432784
210	5.73710322
211	5.721068787
212	5.718367109
213	5.710174638
214	5.707563701
215	5.69421786
216	5.691516718
217	5.688782573
218	5.685486177
219	5.679358248
220	5.676689126
221	5.668479706
222	5.660656954
223	5.649579708
224	5.642479108
225	5.631907219
226	5.625895348
227	5.623567013
228	5.619115272
229	5.616855917
230	5.615332962
231	5.613834602
232	5.603969775
233	5.600625244
234	5.591692648
235	5.588220043
236	5.585961869
237	5.584370515
238	5.581911701
239	5.579097709
240	5.574416941
241	5.56180354
242	5.559953555
243	5.557834911
244	5.553746939
245	5.551994305
246	5.550273463
247	5.548571823
248	5.546836367
249	5.544434816
250	5.523405587
251	5.514905002
252	5.509416717
253	5.507001298
254	5.499480443
255	5.498257372
256	5.489120245
257	5.486215426
258	5.484794334
259	5.445810579
260	5.441937277
261	5.437919432
262	5.435760986
263	5.432200155
264	5.430862703
265	5.429014443
266	5.426879004
267	5.422595919
268	5.42042005
269	5.417253952
270	5.37988805
271	5.378720372
272	5.342767951
273	5.308315211
274	5.306395131
275	5.300856203
276	5.299516732
277	5.295820387
278	5.284673022
279	5.283597388
280	5.280012938
281	5.277841449
282	5.275463816
283	5.274292484
284	5.265390391
285	5.264273285
286	5.261125132
287	5.256527704
288	5.253674707
289	5.230395368
290	5.223666584
291	5.220710051
292	5.219382683
293	5.216083996
294	5.213073745
295	5.210650681
296	5.207775675
297	5.207058518
298	5.175344337
299	5.17359695
300	5.163789815
301	5.161030958
302	5.160356499
303	5.141122365
304	5.138448659
305	5.137648552
306	5.128758101
307	5.127187951
308	5.126419649
309	5.124893828
310	5.097946065
311	5.093415194
312	5.063979084
313	5.039836305
314	5.039199511
315	5.038496805
316	5.027500116
317	5.014256069
318	4.98471364
319	4.982253509
320	4.963967939
321	4.955653321
322	4.953259991
323	4.951000155
324	4.944537558
325	4.916399308
326	4.915778915
327	4.912144042
328	4.905346234
329	4.904823581
330	4.904229835
331	4.903675044
332	4.903130418
333	4.902670608
334	4.896575528
335	4.894419358
336	4.893382539
337	4.892920774
338	4.89246679
339	4.870729539
340	4.87028482
341	4.861276655
342	4.855273478
343	4.834211421
344	4.828150329
345	4.827750013
346	4.82732702
347	4.826880313
348	4.800493284
349	4.79193175
350	4.791042345
351	4.778427189
352	4.766305195
353	4.763361486
354	4.761093642
355	4.741280328
356	4.735890399
357	4.73554045
358	4.703993695
359	4.698610543
360	4.697824992
361	4.696527904
362	4.694709103
363	4.692919667
364	4.685201706
365	4.684343021
366	4.683130586
367	4.681407495
368	4.676985274
369	4.669568927
370	4.658444676
371	4.656549488
372	4.630607138
373	4.623694851
374	4.614472218
375	4.586649068
376	4.582513694
377	4.568859557
378	4.559176154
379	4.558422185
380	4.540841239
381	4.524085458
382	4.523380028
383	4.516474823
384	4.515750881
385	4.513571729
386	4.511980666
387	4.511312357
388	4.509055129
389	4.503437301
390	4.480524461
391	4.476372045
392	4.458971331
393	4.452241981
394	4.443454137
395	4.435039243
396	4.429890468
397	4.404433065
398	4.398192388
399	4.382946771
400	4.380751375
401	4.369831403
402	4.34897815
403	4.344635055
404	4.327338121
405	4.318675872
406	4.318060902
407	4.310472097
408	4.304565565
409	4.299788526
410	4.295900194
411	4.295459981
412	4.275627273
413	4.250269466
414	4.22873144
415	4.222923658
416	4.222334967
417	4.207301852
418	4.18845283
419	4.182102824
420	4.181253547
421	4.163298225
422	4.161282415
423	4.160728778
424	4.150648095
425	4.149836011
426	4.149304419
427	4.141616654
428	4.120986562
429	4.120477835
430	4.105886785
431	4.105340028
432	4.10480473
433	4.097866004
434	4.087651738
435	4.08091017
436	4.076433042
437	4.069200341
438	4.060446043
439	4.054726013
440	4.048349345
441	4.035209832
442	4.031677452
443	4.02544037
444	4.022704887
445	4.01474721
446	3.993704503
447	3.990743464
448	3.98150038
449	3.972320554
450	3.97024458
451	3.962951537
452	3.955537796
453	3.953735389
454	3.9511606
455	3.944120742
456	3.939611892
457	3.933954104
458	3.928119814
459	3.922540745
460	3.920414037
461	3.918787445
462	3.914538118
463	3.912859881
464	3.908955006
465	3.908575519
466	3.899969705
467	3.899208615
468	3.894057859
469	3.892123579
470	3.888466016
471	3.88316482
472	3.874709622
473	3.867293935
474	3.862107408
475	3.858174678
476	3.846754423
477	3.841729773
478	3.837240438
479	3.835737545
480	3.827470709
481	3.822811467
482	3.816634993
483	3.810420528
484	3.802696362
485	3.799295496
486	3.795977068
487	3.792886259
488	3.791187259
489	3.782858442
490	3.770541041
491	3.770114837
492	3.765618358
493	3.765206991
494	3.759211437
495	3.755796708
496	3.74551147
497	3.738184916
498	3.728338203
499	3.715010698
500	3.706278927
501	3.704510661
502	3.69948468
503	3.693244027
504	3.690176466
505	3.68978019
506	3.684691982
507	3.680224366
508	3.676029034
509	3.674463456
510	3.669256675
511	3.664941426
512	3.659459392
513	3.658120973
514	3.654655248
515	3.650230353
516	3.645129384
517	3.643664575
518	3.636652013
519	3.632757836
520	3.628735899
521	3.621972358
522	3.617749668
523	3.612770424
524	3.610511326
525	3.605730421
526	3.59797199
527	3.59762381
528	3.595046053
529	3.58845974
530	3.587552488
531	3.581985297
532	3.578518523
533	3.578350579
534	3.571449577
535	3.571211233
536	3.566493686
537	3.563904679
538	3.553582064
539	3.549037274
540	3.544981697
541	3.537691908
542	3.53058732
543	3.529382036
544	3.522830991
545	3.520107493
546	3.516162265
547	3.508214665
548	3.503814659
549	3.49983802
550	3.495303974
551	3.491045759
552	3.486857105
553	3.483561384
554	3.470790271
555	3.466513281
556	3.459880909
557	3.458834774
558	3.45852343
559	3.455272574
560	3.454168278
561	3.45031497
562	3.446551674
563	3.43976211
564	3.435938521
565	3.433188772
566	3.429985884
567	3.426317969
568	3.419121215
569	3.413123666
570	3.411341012
571	3.406814128
572	3.404528167
573	3.397319246
574	3.394883183
575	3.392805904
576	3.390008217
577	3.383106865
578	3.381409381
579	3.37157133
580	3.365101503
581	3.361066284
582	3.358915672
583	3.358643006
584	3.354755893
585	3.352777124
586	3.351767974
587	3.351382515
588	3.3479425
589	3.344110288
590	3.342448196
591	3.34081335
592	3.338184825
593	3.335773229
594	3.333748919
595	3.329971006
596	3.329684506
597	3.323240993
598	3.31828956
599	3.311975401
600	3.307256082
601	3.301159462
602	3.292821407
603	3.289875605
604	3.287410581
605	3.279554981
606	3.278300282
607	3.272772195
608	3.269341688
609	3.264993471
610	3.262869321
611	3.257436781
612	3.252931231
613	3.249630386
614	3.239408107
615	3.233161557
616	3.23201575
617	3.229615042
618	3.22517514
619	3.219051855
620	3.217499196
621	3.214262824
622	3.209033145
623	3.205308787
624	3.201250981
625	3.197784011
626	3.193092575
627	3.19077654
628	3.18456856
629	3.182488239
630	3.18020681
631	3.176989659
632	3.173868698
633	3.170047176
634	3.167006564
635	3.164401299
636	3.162238567
637	3.159083732
638	3.156156142
639	3.153585978
640	3.147973575
641	3.145461969
642	3.143398843
643	3.142544904
644	3.139891649
645	3.138986848
646	3.135848523
647	3.130328109
648	3.12830442
649	3.1243421
650	3.121418471
651	3.11977997
652	3.117255072
653	3.114785133
654	3.111890953
655	3.109433116
656	3.10635232
657	3.103748236
658	3.101868626
659	3.099461404
660	3.095277101
661	3.094137254
662	3.091114551
663	3.088291761
664	3.084653766
665	3.082325653
666	3.080935516
667	3.07875591
668	3.076444451
669	3.071431946
670	3.069844789
671	3.066303345
672	3.06547936
673	3.051955463
674	3.050385865
675	3.047465028
676	3.04604598
677	3.044396836
678	3.039029672
679	3.03398198
680	3.031457544
681	3.02924816
682	3.028507805
683	3.019277833
684	3.014103878
685	3.00890973
686	3.007134805
687	3.002746027
688	3.000740395
689	2.998347651
690	2.996514797
691	2.99151066
692	2.990867668
693	2.990356018
694	2.985355637
695	2.976325054
696	2.974147082
697	2.971286436
698	2.966374489
699	2.964092159
700	2.961444264
701	2.959295525
702	2.954572445
703	2.953887812
704	2.950552504
705	2.946804426
706	2.946038038
707	2.944507127
708	2.939703769
709	2.938326122
710	2.933464906
711	2.932727603
712	2.932157189
713	2.927459343
714	2.917543261
715	2.913006479
716	2.911971121
717	2.909546927
718	2.907326063
719	2.901576609
720	2.900012959
721	2.89901926
722	2.897007369
723	2.895299191
724	2.893322304
725	2.890622801
726	2.887378811
727	2.885210942
728	2.884881384
729	2.880550041
730	2.880073793
731	2.870418062
732	2.858203999
733	2.852249105
734	2.845362042
735	2.842359311
736	2.841639474
737	2.840056525
738	2.838837732
739	2.836906426
740	2.835215565
741	2.833358073
742	2.830763984
743	2.828307835
744	2.819405634
745	2.818777334
746	2.818187453
747	2.8087105
748	2.804547576
749	2.802599285
750	2.802137854
751	2.790954497
752	2.789046301
753	2.786307596
754	2.785129718
755	2.784474226
756	2.781009102
757	2.780111401
758	2.778257176
759	2.7770846
760	2.776766425
761	2.77472585
762	2.763926362
763	2.760698099
764	2.759007832
765	2.757205039
766	2.754879453
767	2.753168406
768	2.752761937
769	2.751860722
770	2.750328621
771	2.748636803
772	2.747691998
773	2.744597973
774	2.744221426
775	2.742730652
776	2.741720337
777	2.741324612
778	2.735139502
779	2.733601186
780	2.732429762
781	2.731289426
782	2.72990071
783	2.726988172
784	2.725382031
785	2.72465434
786	2.722877924
787	2.714961748
788	2.712716648
789	2.7109756
790	2.70986422
791	2.708112786
792	2.70663091
793	2.69810893
794	2.696862142
795	2.694303393
796	2.693781069
797	2.692565376
798	2.684721454
799	2.682763684
800	2.673854567
801	2.672405686
802	2.671556754
803	2.669865074
804	2.668440854
805	2.660618716
806	2.658369317
807	2.64859884
808	2.646389425
809	2.645414788
810	2.638420067
811	2.636881294
812	2.634098931
813	2.632487696
814	2.630827547
815	2.630338608
816	2.625253746
817	2.62458282
818	2.621791044
819	2.619469128
820	2.617800272
821	2.611266927
822	2.605340982
823	2.603374747
824	2.602766656
825	2.600690111
826	2.599846104
827	2.5971238
828	2.595753746
829	2.594143896
830	2.593715777
831	2.588841033
832	2.588261964
833	2.586725453
834	2.583990714
835	2.582033397
836	2.578739042
837	2.577199958
838	2.575954474
839	2.573872122
840	2.566377747
841	2.564291088
842	2.559963629
843	2.557662978
844	2.556146386
845	2.554383845
846	2.552462071
847	2.549992109
848	2.545730869
849	2.543392591
850	2.541414222
851	2.538284164
852	2.537721185
853	2.53691163
854	2.535663154
855	2.534876769
856	2.531822931
857	2.526813831
858	2.526424758
859	2.521473223
860	2.520910235
861	2.520004097
862	2.517996711
863	2.512615665
864	2.510678233
865	2.510274182
866	2.508333029
867	2.507594686
868	2.506855447
869	2.5037025
870	2.503024569
871	2.498100289
872	2.496362247
873	2.493428687
874	2.492920083
875	2.492607119
876	2.490840374
877	2.490745691
878	2.490138899
879	2.488816002
880	2.486248791
881	2.482321046
882	2.481256493
883	2.479869437
884	2.477018991
885	2.475737188
886	2.474497165
887	2.473124924
888	2.47136852
889	2.468825278
890	2.467680887
891	2.465674057
892	2.464453746
893	2.462040138
894	2.455322052
895	2.454466018
896	2.452758028
897	2.447428673
898	2.446231041
899	2.445797266
900	2.445367909
901	2.444578155
902	2.443530555
903	2.441058449
904	2.440225785
905	2.437919437
906	2.437293175
907	2.436872792
908	2.433485781
909	2.432716196
910	2.428958024
911	2.428207623
912	2.428049794
913	2.427361158
914	2.424664564
915	2.423459425
916	2.422664677
917	2.420010046
918	2.418595379
919	2.413489891
920	2.412658944
921	2.405451817
922	2.404947593
923	2.399261213
924	2.398320337
925	2.396041363
926	2.394676194
927	2.394197137
928	2.387986318
929	2.387615921
930	2.38594516
931	2.384628225
932	2.383057097
933	2.382118855
934	2.380402625
935	2.3780932
936	2.375957502
937	2.37440481
938	2.373645057
939	2.372006704
940	2.370739123
941	2.369151007
942	2.367717172
943	2.367240622
944	2.36526568
945	2.364029267
946	2.363004832
947	2.362069914
948	2.361412987
949	2.360195731
950	2.358999007
951	2.357444434
952	2.35624165
953	2.350004109
954	2.349067368
955	2.348820699
956	2.348158196
957	2.344173141
958	2.340700594
959	2.33917796
960	2.337505769
961	2.333822451
962	2.330406915
963	2.324467043
964	2.322997515
965	2.321537775
966	2.320624389
967	2.319440366
968	2.31849116
969	2.317854101
970	2.316438055
971	2.316236284
972	2.31552709
973	2.31506642
974	2.314218725
975	2.313527614
976	2.312135479
977	2.308805627
978	2.306725673
979	2.303572627
980	2.302191197
981	2.299074743
982	2.298184126
983	2.296350178
984	2.293188922
985	2.292616954
986	2.291096719
987	2.289669776
988	2.287971342
989	2.285976748
990	2.285529589
991	2.284432066
992	2.283018801
993	2.281852148
994	2.281171832
995	2.279995855
996	2.278722269
997	2.278255779
998	2.27567128
999	2.273749071
